Codename,Name,Abbreviation,Type,Category,URL,Game,UseMaster,UseAssets,Release,Version,Stability,Size,Author,Readme
hiddenadventure,Hidden Adventures,Hidden Adventures,compilation,QUEST,https://github.com/Gitjas/hiddenadventure,BG2,,,2025-01-29,vBeta_9,,4067744,"Lumorus, jastey ",-
House-Rule-Tweaks,House Rule Tweaks,House Rule Tweaks,compilation,TWEAKS,https://github.com/TheArtisanBG/House-Rule-Tweaks,BG1-BG2-IWD,1,,2026-05-29,2a9bdef,,65928556,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/housetweaks
HoW_EET,Heart of Winter for EET,HoW_EET,major,CAMPAIGN,https://github.com/The-Gate-Project/HoW_EET,BG1-BG2,,,2026-05-07,d83619a,,302629798,tipun,-
HPS-Portraits-Project-1.0,The HPS Portraits Project,HPS,major,PORTRAITS,https://github.com/HoldenBG/HPS-Portraits-Project-1.0,BG1-BG2,,1,2026-06-01,v1.2,,1006595617,Holden,https://www.gibberlings3.net/forums/topic/41267-the-hps-portraits-project-v10-updated-to-v12-on-may-31-2026/
HTaM,"Heroes, Thieves and Moneylenders",HtaM,major,QUEST,https://github.com/Austin-BG/HTaM,BG2,,,2026-02-23,v.4.6.4,,110312387,Austin,-
Icewind-Dale-Graphical-Overhaul,Icewind Dale Graphical Overhaul,IDGO,major,GFX,https://github.com/Spellhold-Studios/Icewind-Dale-Graphical-Overhaul,IWD,,,2026-03-22,"v1,1",,492732782,"Yovaneth, Weigo ",-
Imoen4Ever,Imoen 4 Ever,Imoen4Ever,major,RESTRUCTURE,https://github.com/Gibberlings3/Imoen4Ever,BG1-BG2,,,2026-01-16,v11.6,,4639411,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.imoen_forever.english.txt
InfinityUI,Infinity UI++,InfinityUI,major,UI,https://github.com/Renegade0/InfinityUI,BG1-BG2-IWD,,,2026-07-06,v1.27,,302445150,Pecca,https://forums.beamdog.com/discussion/87209/mod-infinity-ui-v1-27/p1
iwd_description_icons,IWD Description Icons,IWD Description Icons,medium,GFX,https://github.com/Gibberlings3/iwd_description_icons,IWD,,,2026-05-29,925cd31,beta,7385089,Parys,https://gibberlings3.github.io/Documentation/readmes/readme-cd_iwd_desc.html
IWD_EET_End,IWD in EET Ending,IWD_EET_End,major,CAMPAIGN,https://github.com/The-Gate-Project/IWD_EET_End,BG1-BG2,,,2025-08-15,ae5728f,,9507205,tipun,-
IWD1_EET,Icewind Dale in EET,IWD1_EET,major,CAMPAIGN,https://github.com/The-Gate-Project/IWD1_EET,BG1,,,2026-07-12,59d7185,,1487005772,tipun,-
IWD2_EET,Icewind Dale 2 in EET,IWD2_EET,major,CAMPAIGN,https://github.com/The-Gate-Project/IWD2_EET,BG2,,,2026-05-09,57a934b,,1345415086,tipun,-
iwdification,IWDification,IWDification,compilation,TWEAKS,https://github.com/Gibberlings3/iwdification,BG1-BG2,,,2025-07-12,v11,,65733925,Multiple ,https://gibberlings3.github.io/Documentation/readmes/readme-iwdification.html
iwd_unfinished_business,Icewind Dale Unfinished Business,IWDUB,compilation,RESTORATION,https://github.com/Gibberlings3/iwd_unfinished_business,IWD,,,2025-02-12,v13,,2153335,CamDawg,https://gibberlings3.github.io/Documentation/readmes/readme-ub_iwd.html
JA-AdventurePack,Jarl's Adventure Pack,JAP,compilation,RESTORATION,https://github.com/Gitjas/JA-AdventurePack,BG1,,,2025-07-13,v1.0,,23236764,Jarl,https://github.com/Gitjas/JA-AdventurePack/blob/master/JA%23BGT_AdvPack/readme/components.md
Jasteys_SoD_Tweakpack,Jastey's SoD Tweak Pack,Jastey's SoD Tweak Pack,compilation,TWEAKS,https://github.com/Gibberlings3/Jasteys_SoD_Tweakpack,BG1,,,2025-02-01,v13,,3343758,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.c%23sodtweaks.english.txt
LeUI,lefreut's Enhanced UI (BG2EE),LeUI,major,UI,https://github.com/r-e-d/LeUI,BG1-BG2-IWD,,,2025-01-18,v4.9.1,,19973077,lefreut,https://www.gibberlings3.net/forums/topic/30827-ui-lefreuts-enhanced-ui-bgee-sod-bg2ee-and-eet
LeUI-BG1EE,lefreut's Enhanced UI (BG1EE),LeUI-BG1EE,major,UI,https://github.com/r-e-d/LeUI-BG1EE,BG1-BG2-IWD,,,2025-01-18,v4.9.1,,22472897,lefreut,https://www.gibberlings3.net/forums/topic/30827-ui-lefreuts-enhanced-ui-bgee-sod-bg2ee-and-eet
LeUI-IWDEE,lefreut's Enhanced UI (IWDEE),LeUI-IWDEE,major,UI,https://github.com/r-e-d/LeUI-IWDEE,BG1-BG2-IWD,,,2022-08-11,v2.0,,2020631,lefreut,https://www.gibberlings3.net/forums/topic/30827-ui-lefreuts-enhanced-ui-bgee-sod-bg2ee-and-eet
LeUI-SoD,lefreut's Enhanced UI (SoD),LeUI-SoD,major,UI,https://github.com/r-e-d/LeUI-SoD,BG1-BG2-IWD,,,2025-01-18,v4.9.1,,19974652,lefreut,https://www.gibberlings3.net/forums/topic/30827-ui-lefreuts-enhanced-ui-bgee-sod-bg2ee-and-eet
morpheus562s-kitpack,Morpheus562's Kitpack,Morpheus562's Kitpack,compilation,MECHANICS,https://www.morpheus-mart.com/morpheus562s-kitpack,BG1-BG2-IWD,,,2026-03-15,5.9,,980523,Morpheus562,-
NWNForBG,Neverwinter Nights for Baldur's Gate,NWNForBG,major,CAMPAIGN,https://github.com/abalabokhin/NWNForBG,BG2,,,2025-12-31,1.00,,2542925946,"AGKanevchev, paladin84",-
Olvyn-Tweaks,OlvynTweaks,OlvynTweaks,compilation,TWEAKS,https://github.com/OlvynChuru/Olvyn-Tweaks,BG1-BG2-IWD,,,2022-08-19,ebe1f59,,1154760,OlvynChuru,https://forums.beamdog.com/discussion/74322/mod-olvyntweaks-version-1-4/p1
PlanarItems,Items of the Planes,PlanarItems,compilation,ITEMS,https://github.com/aquadrizzt/PlanarItems,PST,,,2023-04-16,v0.61,,8575071,aquadrizzt,https://forums.beamdog.com/discussion/69700/mod-items-of-the-planes/p1
Portraits-Portraits-Everywhere,Portraits Portraits Everywhere,PPE,major,PORTRAITS,https://github.com/smeagolheart/Portraits-Portraits-Everywhere,IWD,,,2018-04-16,54c94e7,,496059933,smeagolheart,https://forums.beamdog.com/discussion/61015/mod-portraits-portraits-everywhere-for-bg1ee-sod-bg2ee-iwdee-eet/p1
PST-UB-reloaded,PS:T Unfinished Business - Reloaded,PST-UB,compilation,QUEST,https://github.com/Argent77/PST-UB-reloaded,PST,,,2026-05-08,v2.5,,16625326,Argent77,-
RandomGraionTweaks,Random Graion Tweaks,Random Graion Tweaks,compilation,TWEAKS,https://github.com/GraionDilach/RandomGraionTweaks,BG1-BG2-IWD,,,2024-12-20,version-1.17,,19011227,GraionDilach,-
Romantic_Encounters_BG2,Romantic Encounters for BG2,RE,compilation,QUEST,https://github.com/Gibberlings3/Romantic_Encounters_BG2,BG2,,,2020-05-21,v15,,8872201,Multiple ,https://gibberlings3.github.io/Documentation/readmes/Readme-RE.txt
Reflections-of-Destiny,Reflections of Destiny,RoD,major,RESTRUCTURE,https://github.com/subtledoctor/Reflections-of-Destiny,BG1,,,2025-03-18,0.9,beta,2532953,subtledoctor,-
rogue_rebalancing,Rogue Rebalancing,RR,major,MECHANICS,https://github.com/mleduque/rogue_rebalancing,BG1-BG2-IWD,,,2021-06-18,29f0383,,9912552,aVENGER,https://htmlpreview.github.io/?https://github.com/mleduque/rogue_rebalancing/blob/main/rr/doc/rr_core.html
Road_To_Discovery_for_SoD,Road to Discovery for SoD,RtD,compilation,QUEST,https://github.com/Gibberlings3/Road_To_Discovery_for_SoD,BG1,,,2026-01-19,v6,,1172063,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.sodrtd.english.txt
SwordCoastStratagems,Sword Coast Stratagems,SCS,compilation,AI,https://github.com/Gibberlings3/SwordCoastStratagems,BG1-BG2-IWD,,,2024-11-21,v35.21,,95733180,DavidW,https://gibberlings3.github.io/Documentation/readmes/readme-stratagems.html
skills-and-abilities,Skills and Abilities,Skills and Abilities,compilation,MECHANICS,https://www.morpheus-mart.com/skills-and-abilities,BG1-BG2-IWD,,,2026-04-07,5.2,,2083974,Morpheus562,-
sod-items-to-bg2ee-eet,Sod items to BG2EE/EET,Sod items to BG2EE/EET,medium,ITEMS,https://github.com/dark0dave/sod-items-to-bg2ee-eet,BG2,,,2026-07-25,v4.0.0,,7954093,dark0dave,-
shades-of-the-sword-coast,Shades of the Sword Coast,SotSC,compilation,QUEST,https://downloads.weaselmods.net/download/shades-of-the-sword-coast,BG1,,,2026-06-21,10.5,,71362025,Lava,-
SubtleD_Stat_Overhauls,SubtleD's Stat Overhauls,SubtleD's Stat Overhauls,major,MECHANICS,https://github.com/subtledoctor/SubtleD_Stat_Overhauls,BG1-BG2-IWD,,,2025-02-22,1.8,,2982784,subtledoctor,-
thalan,Thalantyr Item Upgrade,Thalantyr Item Upgrade,medium,ITEMS,https://github.com/CrevsDaak/thalan,BG1,,,2024-06-16,v4.5.1,,1489852,"Serdrick, Crevs Daak",https://github.com/CrevsDaak/thalan/blob/master/thalan/docs/readme.txt
The-Artisan-s-Kitpack,The Artisan's Kitpack,The Artisan's Kitpack,compilation,MECHANICS,https://github.com/TheArtisanBG/The-Artisan-s-Kitpack,BG1-BG2-IWD,1,,2026-05-31,85928f9,,117706558,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/kitpack
Tweaks-Anthology,The Tweaks Anthology,The Tweaks Anthology,compilation,TWEAKS,https://github.com/Gibberlings3/Tweaks-Anthology,BG1-BG2-IWD-PST,,,2025-08-22,v18,,32012693,Multiple ,https://gibberlings3.github.io/Documentation/readmes/readme-cdtweaks.html
themed_tweaks,Themed Tweaks,Themed Tweaks,compilation,TWEAKS,https://github.com/lzenner/themed_tweaks,BG1-BG2,,,2026-01-19,v0.5,,2118596,Lauriel ,https://github.com/lzenner/themed_tweaks/blob/main/themed_tweaks/readme.themed_tweaks.english.txt
TomeAndBlood,Tome and Blood,TnB,compilation,MECHANICS,https://github.com/UnearthedArcana/TomeAndBlood,BG1-BG2-IWD,,,2025-03-19,1.4,,4477571,aquadrizzt,-
A7-TotLM-BG2EE,Trials of the Luremaster for BG2:EE,TotLM-BG2EE,major,CAMPAIGN,https://github.com/Argent77/A7-TotLM-BG2EE,BG2,,,2026-01-14,v4.4,,98192971,Argent77,-
UnfinishedBusiness,Unfinished Business,UB,compilation,RESTORATION,https://github.com/Pocket-Plane-Group/UnfinishedBusiness,BG2,,,2021-01-03,v28,,7898622,Multiple ,https://htmlpreview.github.io/?https://github.com/Pocket-Plane-Group/UnfinishedBusiness/blob/master/ub/docs/readme-ub.html
Under-Respresented_Items,Under-Represented Items,Under-Represented Items,compilation,ITEMS,https://github.com/Pocket-Plane-Group/Under-Respresented_Items,BG2,,,2025-06-10,v14,,2145107,Weimer ,https://pocket-plane-group.github.io/readmes/readme-underrep.html
VoicesVoicesExtravaganza,Voices Voices Extravaganza,VVE,major,SOUND,https://github.com/ColossusChang/VoicesVoicesExtravaganza,BG1-BG2,,1,2024-10-13,v1.1,,1029060192,Colossus,-
VoicesVoicesExtravaganza-SOD,Voices Voices Extravaganza SoD,VVE-SOD,major,SOUND,https://github.com/ColossusChang/VoicesVoicesExtravaganza-SOD,BG1-BG2,,1,2025-05-12,v1.0,,337785344,Colossus,-
ZSTweaks,ZSTweaks,ZSTweaks,compilation,TWEAKS,https://github.com/szaumoor/ZSTweaks,BG1-BG2-IWD,,,2026-04-04,1.6.9,,5480157,Kaelyn,https://github.com/szaumoor/ZSTweaks/blob/main/ZSTweaks/component_readme.md
tactics-remix,Tactics Remix,,compilation,AI,https://www.morpheus-mart.com/tactics-remix,BG1-BG2-IWD,,,2026-04-07,7.3,,1000808525,Morpheus562,-
AutoLoot,AutoLoot,,minor,BASE,https://github.com/LCA-EET/AutoLoot,BG1-BG2-IWD,,,2026-06-20,v1.3,,171049,LCAMod ,-
A7-DlcMerger,DLC Merger,,minor,BASE,https://github.com/Argent77/A7-DlcMerger,BG1,,,2026-07-03,v2.1,,265993,Argent77,-
IE-Snippets,IE Snippets,,minor,BASE,https://github.com/Bubb13/IE-Snippets,BG1-BG2-IWD,,,2023-03-04,files,,27512826,Bubb,-
DialogueChoiceAdditions,Dialogue Choice Additions,,minor,DIALOGUE,https://github.com/virginviolet/DialogueChoiceAdditions,BG1-BG2,,,2026-05-21,v1.4.0,,1785912,VioletSister,-
Reflection,Reflection,,minor,DIALOGUE,https://github.com/bucketfulofsunshine/Reflection,BG1-BG2,,,2026-03-05,V0.1,alpha,1382999,bucketfulofsunshine  ,-
bg1_icons_pack_mod,BG1 Icons Pack,,minor,GFX,https://github.com/Alexander12-creator/bg1_icons_pack_mod,BG1,,,2024-12-02,1.0,,6929857,Alexander12,https://github.com/Alexander12-creator/bg1_icons_pack_mod/blob/main/Readme.eng.pdf
Continuous_NPC_Portraits,Continuous NPC Portraits,,minor,GFX,https://github.com/Gibberlings3/Continuous_NPC_Portraits,BG1-BG2,,,2022-03-07,v3,,10713269,CamDawg,https://gibberlings3.github.io/Documentation/readmes/readme-cdportraits.html
RemasteredSpellIcons,Remastered Spell Icons,,medium,GFX,https://github.com/Renegade0/RemasteredSpellIcons,BG1-BG2-IWD,,,2024-02-21,v1.2,,16036039,Pecca,https://forums.beamdog.com/discussion/88266/mod-remastered-spell-icons-v1-2/p1
A7-BagsOfTorment,Bags of Torment,,minor,ITEMS,https://github.com/Argent77/A7-BagsOfTorment,PST,,,2023-12-09,v1.3,,159998,Argent77,-
findit-iwd,Find It! (IWD),,minor,ITEMS,https://downloads.weaselmods.net/download/findit-iwd,IWD,,,2023-03-03,2.6,,248820,Lava,-
forgeit-iwd,Forge It! (IWD),,minor,ITEMS,https://downloads.weaselmods.net/download/forgeit-iwd,IWD,,,2024-09-06,1.9,,477675,Lava,-
IWDEE-Frostforged,Frostforged,,minor,ITEMS,https://github.com/TheArtisanBG/IWDEE-Frostforged,IWD,1,,2025-09-25,1652f9d,alpha,1988522,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/frostforged
HaerDalis-Swords,Improved Haer'Dalis Swords,,minor,ITEMS,https://github.com/Spellhold-Studios/HaerDalis-Swords,BG2,,,2024-12-15,v3.1.0,,2701377,"Badgert, Kania Blade ",https://spellhold-studios.github.io/readmes/haerdalis-swords/improved-haerdalis-swords-readme-english.html
Item_Upgrade,Item Upgrade,,medium,ITEMS,https://github.com/Pocket-Plane-Group/Item_Upgrade,BG2,,,2026-04-24,v57,,11205544,Weimer,https://pocket-plane-group.github.io/readmes/readme-itemupgrade.html
Jarnip,Jarnip's Wares: A New Bonus Merchant in the Adventurer's Mart,,minor,ITEMS,https://github.com/Carsomyr6/Jarnip,BG2,,,2026-07-13,Jarnip,,2460979,RZABON,-
msfm,More Style for Mages,,minor,ITEMS,https://github.com/Endarire/More-Style-for-Mages-MSFM-,BG1-BG2-IWD,,1,2023-07-12,1.6-Prerelease-Take-2,beta,188,Pecca,https://forums.beamdog.com/discussion/18108/mod-more-style-for-mages-v1-56/p1
of-heirlooms-and-classes,Of Heirlooms and Classes,,minor,ITEMS,https://downloads.weaselmods.net/download/of-heirlooms-and-classes,BG2,,,2026-05-14,2.3,,403732,Lava,-
SP_Collection,Spellhold Spells,,minor,ITEMS,https://github.com/Gibberlings3/SP_Collection,BG1-BG2,,,2026-04-03,v17,,2069646,Multiple ,https://gibberlings3.github.io/Documentation/readmes/readme-spstuff.html
Stuff-of-the-Magi,Stuff of the Magi,,minor,ITEMS,https://github.com/Spellhold-Studios/Stuff-of-the-Magi,BG2,,,2024-12-15,v6.0.0,,3124025,Victor Straffe ,https://spellhold-studios.github.io/readmes/stuff-of-the-magi/sotm-readme-english.txt
SubtleD_Item_Tweaks,SubtleD's Item Tweaks,,compilation,ITEMS,https://github.com/subtledoctor/SubtleD_Item_Tweaks,BG1-BG2-IWD,,,2025-10-22,1.5,,2736160,subtledoctor,-
ZS_CanIStabYou-Mod,Can I Stab You?,,minor,MECHANICS,https://github.com/szaumoor/ZS_CanIStabYou-Mod,BG1-BG2-IWD,,,2026-03-20,1.0.8,,1257741,Kaelyn,-
A7-ChaosSorcerer,Chaos Sorcerer,,minor,MECHANICS,https://github.com/Argent77/A7-ChaosSorcerer,BG1-BG2-IWD,,,2025-10-16,v2.11,,2268371,Argent77,-
XGTCumulativeCasterLevels,Cumulative Caster Levels,,minor,MECHANICS,https://github.com/Xgatt/XGTCumulativeCasterLevels,BG1-BG2-IWD,,,2026-05-08,0.6b,alpha,1408594,Xgatt,-
Epic-Thieving,Epic Thieving,,minor,MECHANICS,https://github.com/OlvynChuru/Epic-Thieving,BG1-BG2-IWD,,,2023-06-04,149ac53,,3210824,OlvynChuru,https://forums.beamdog.com/discussion/74158/mod-epic-thieving-more-benefits-from-high-thieving-skills/p1
Geomantic_Sorcerer,Geomantic Sorcerer,,minor,MECHANICS,https://github.com/Gibberlings3/Geomantic_Sorcerer,IWD,,,2025-05-07,v9,,8880834,Caedwyr,https://gibberlings3.github.io/Documentation/readmes/readme-druidsor.html
A7-ImprovedArcher,Improved Archer,,minor,MECHANICS,https://github.com/Argent77/A7-ImprovedArcher,BG2,,,2024-12-07,v4.4,,4211001,Argent77,-
A7-ImprovedShamanicDance,Improved Shamanic Dance,,minor,MECHANICS,https://github.com/Argent77/A7-ImprovedShamanicDance,BG1-BG2-IWD,,,2024-12-07,v4.6,,392479,Argent77,-
Lore_From_Learning,Lore From Learning,,medium,MECHANICS,https://github.com/Gibberlings3/Lore_From_Learning,BG1-BG2,,,2026-03-16,v10,,1568600,CamDawg,https://gibberlings3.github.io/Documentation/readmes/readme-cdlore.html
ZS_ShadowdancerOverhaul,Shadowdancer Overhaul,,minor,MECHANICS,https://github.com/szaumoor/ZS_ShadowdancerOverhaul,BG1-BG2-IWD,,,2026-07-26,1.3.0a,,10536228,Kaelyn,-
Adrian-NPC,Adrian NPC,,minor,NPC,https://github.com/Spellhold-Studios/Adrian-NPC,BG2,,,2023-06-15,v6.1,,15071512,"Rhaella, Kaeloree",https://spellhold-studios.github.io/readmes/adrian-npc/adrian-readme-english.html
Ajantis_BG2,Ajantis for BG2,,minor,NPC,https://github.com/Gibberlings3/Ajantis_BG2,BG2,,,2025-09-19,v21,,11691780,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.ajantisbg2.english.txt
Alora-NPC-for-BG2,Alora for BG2,,minor,NPC,https://github.com/The-Gate-Project/Alora-NPC-for-BG2,BG2,,,2025-10-06,v2.1,,14141985,Raven,-
Angelo,Angelo NPC,,minor,NPC,https://github.com/Gibberlings3/Angelo,BG2,,,2021-09-28,v9,,19416717,"Sister Vigilante, Kulyok",https://gibberlings3.github.io/Documentation/readmes/readme-angelo.html
IWD-Athanasios-NPC,Athanasios NPC,,minor,NPC,https://github.com/TheArtisanBG/IWD-Athanasios-NPC,IWD,1,,2025-04-11,035784e,,3609155,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/iwdnpcs
BaeBG2,Baeloth for BG2,,minor,NPC,https://github.com/dark0dave/BaeBG2,BG2,,,2025-09-12,v0.2.0,alpha,16271228,dark0dave,-
bethany,Bethany NPC,,minor,NPC,https://downloads.weaselmods.net/download/bethany,IWD,,,2025-11-15,1.03,,3603101,Lava,-
Brages_Redemption,Brage's Redemption,,minor,NPC,https://github.com/Gitjas/Brages_Redemption,BG1-BG2,,,2026-01-15,v10.1,,9582751,jastey,-
CassiaNPC,Cassia NPC,,minor,NPC,https://github.com/Arvendor/CassiaNPC,IWD,,,2024-01-20,8f9af4c,,4827405,Arvendor,https://forums.beamdog.com/discussion/87511/mod-cassia-npc-for-iwd-ee
Coran_for_BGII,Coran for BG2,,minor,NPC,https://github.com/Pocket-Plane-Group/Coran_for_BGII,BG2,,,2023-01-21,v9,,6930998,Kulyok ,https://mods.pocketplane.net/kulyok/Readme-Coran.txt
dendjelion,Dendjelion NPC,,minor,NPC,https://downloads.weaselmods.net/download/dendjelion,IWD,,,2025-12-11,2.1,,13141014,Lava,-
Drake,Drake NPC,,minor,NPC,https://github.com/TheArtisanBG/Drake,BG1,1,,2026-02-01,9ea5fa1,,26557003,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/drake-bg1
dvaradime,Dvaradime NPC,,minor,NPC,https://downloads.weaselmods.net/download/dvaradime,BG2,,,2024-09-30,1.6,,13700621,Lava,-
dynaheir-bg2ee,Dynaheir for BG2EE,,minor,NPC,https://downloads.weaselmods.net/download/dynaheir-bg2ee,BG2,,,2026-07-28,1.3,,14036710,Lava,-
eldoth-for-sod,Eldoth for SoD,,minor,NPC,https://downloads.weaselmods.net/download/eldoth-for-sod,BG1,,,2026-05-13,1.1,,136144,Lava,-
Fade-NPC,Fade NPC,,minor,NPC,https://github.com/Spellhold-Studios/Fade-NPC,BG2,,,2020-08-03,v5.6,,13684631,"Mistress Elysia, Silmarien, Lava, Kai of Candlekeep",https://spellhold-studios.github.io/readmes/fade-npc/Fade_readme.html
faldorn-bg2ee,Faldorn for BG2EE,,minor,NPC,https://downloads.weaselmods.net/download/faldorn-bg2ee,BG2,,,2026-05-21,1.5.1,,6878663,Lava,-
faldorn-for-sod,Faldorn for SoD,,minor,NPC,https://downloads.weaselmods.net/download/faldorn-for-sod,BG1,,,2026-02-09,1.1,,148231,Lava,-
IWD-Guldruk-NPC,Guldruk NPC,,minor,NPC,https://github.com/TheArtisanBG/IWD-Guldruk-NPC,IWD,1,,2025-04-11,1522ddb,,3731955,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/iwdnpcs
